地区	时间	地区名	第一产业	第二产业	第三产业
110000	2009	北京市	104.6	110.4	110.2
110000	2010	北京市	98.4	113.7	109.3
110000	2011	北京市	100.9	106.7	108.7
110000	2012	北京市	103.18648928543001	107.48217640175	107.859801973325
110000	2013	北京市	103.000391696044	108.129418521861	107.614551655218
110000	2014	北京市	100.0	106.9	107.5
110000	2015	北京市	89.2	103.3	108.1
110000	2016	北京市	91.32478632	106.3266804	107.0241518
110000	2017	北京市	94.14287942598659	104.73812388994	107.311272188864
120000	2009	天津市	103.4	118.0	115.2
120000	2010	天津市	103.3	120.2	114.2
120000	2011	天津市	103.8	118.3	114.7
120000	2012	天津市	102.996626314745	115.216032679853	112.577660196012
120000	2013	天津市	103.742136325313	112.649991074793	112.661140065578
120000	2014	天津市	102.92573143285802	109.858510369741	110.43191310398501
120000	2015	天津市	102.532798833819	109.18088103918801	109.61356562571699
120000	2016	天津市	103.0	108.4	110.0
120000	2017	天津市	102.788444966595	101.07489395818001	105.956971775437
130000	2009	河北省	103.3	110.5	111.4
130000	2010	河北省	103.5	113.4	113.1
130000	2011	河北省	104.2	113.4	110.5
130000	2012	河北省	104.000104891306	111.51448294030199	108.62445816933901
130000	2013	河北省	103.3	109.0	108.4
130000	2014	河北省	103.7	105.0	109.7
130000	2015	河北省	102.6	104.7	111.2
130000	2016	河北省	103.5	104.9	109.9
130000	2017	河北省	103.9	103.0	111.3
140000	2009	山西省	104.2	101.9	110.5
140000	2010	山西省	106.1	118.3	109.4
140000	2011	山西省	106.1	116.5	108.7
140000	2012	山西省	106.32054943560499	110.809388261066	109.65381109810801
140000	2013	山西省	104.71388958911	109.821125868944	108.03463705195601
140000	2014	山西省	104.7	103.6	107.1
140000	2015	山西省	101.0	98.8	110.0
140000	2016	山西省	102.8	101.5	106.9
140000	2017	山西省	103.1	106.7	107.8
150000	2009	内蒙古自治区	102.3	121.1	115.0
150000	2010	内蒙古自治区	106.1	118.2	112.4
150000	2011	内蒙古自治区	105.9	117.1	112.4
150000	2012	内蒙古自治区	105.64692457674101	113.28108832809299	110.023694033756
150000	2013	内蒙古自治区	105.113003850251	110.77540157161002	107.117812142544
150000	2014	内蒙古自治区	103.06555678981701	109.035193604843	106.813690811589
150000	2015	内蒙古自治区	103.04572432516501	108.04392184074499	108.111503335182
150000	2016	内蒙古自治区	103.0	106.9	108.3
150000	2017	内蒙古自治区	103.3	101.5	106.2
210000	2009	辽宁省	103.1	115.6	112.1
210000	2010	辽宁省	105.8	116.8	112.5
210000	2011	辽宁省	106.5	114.1	111.0
210000	2012	辽宁省	105.148887660633	109.822633227242	110.137173760008
210000	2013	辽宁省	104.6	108.9	109.2
210000	2014	辽宁省	102.2	105.2	107.2
210000	2015	辽宁省	103.8	99.7	107.2
210000	2016	辽宁省	95.4	92.3	102.5
210000	2017	辽宁省	103.6	103.2	105.0
220000	2009	吉林省	102.8	117.1	113.0
220000	2010	吉林省	103.7	118.8	110.7
220000	2011	吉林省	105.1	117.7	111.0
220000	2012	吉林省	105.30122745490999	114.017758025697	111.300189045768
220000	2013	吉林省	104.0	108.8	108.8
220000	2014	吉林省	104.6	106.6	106.9
220000	2015	吉林省	104.8	105.2	108.4
220000	2016	吉林省	103.9	106.2	108.8
220000	2017	吉林省	103.3	103.8	107.6
230000	2009	黑龙江省	105.2	113.1	110.7
230000	2010	黑龙江省	106.2	114.5	111.8
230000	2011	黑龙江省	106.2	113.0	113.4
230000	2012	黑龙江省	106.451892704576	110.29646130682501	110.768068672526
230000	2013	黑龙江省	105.066987235046	106.655418119554	110.29343153056101
230000	2014	黑龙江省	105.562536456212	102.756702739871	108.89913073832899
230000	2015	黑龙江省	105.161726179097	101.376373868358	110.430271047887
230000	2016	黑龙江省	105.3	102.6	108.5
230000	2017	黑龙江省	105.398541968019	102.76913114132401	108.810441827679
310000	2009	上海市	98.9	103.5	112.2
310000	2010	上海市	93.4	116.8	105.7
310000	2011	上海市	99.3	106.3	109.6
310000	2012	上海市	100.476274475216	103.115848002585	110.61919395484699
310000	2013	上海市	96.68700698159401	105.939493752448	109.037273777612
310000	2014	上海市	100.1	104.2	108.8
310000	2015	上海市	86.39302783244308	101.218724287155	110.61079119693301
310000	2016	上海市	93.4	101.2	109.6
310000	2017	上海市	99.2	105.8	107.5
320000	2009	江苏省	104.5	112.5	113.6
320000	2010	江苏省	104.9	113.1	113.3
320000	2011	江苏省	104.0	111.7	111.1
320000	2012	江苏省	104.59909766695401	111.05733493907302	109.71540535413901
320000	2013	江苏省	102.871439217654	110.024187092932	109.79621519224199
320000	2014	江苏省	102.951106004221	108.204982672101	110.008248330546
320000	2015	江苏省	103.259255303422	108.29849779888399	109.407078059326
320000	2016	江苏省	100.7	106.6	109.8
320000	2017	江苏省	100.38236215832599	106.483977349305	108.528948202395
330000	2009	浙江省	102.40499865620899	106.842247264543	112.496400455772
330000	2010	浙江省	103.205212393335	112.430908598384	112.31011350785101
330000	2011	浙江省	103.55035891959999	109.166139660863	109.52871393714899
330000	2012	浙江省	101.97890493022699	107.32844283563401	109.395195011106
330000	2013	浙江省	100.546158145326	106.343008560653	111.169339311255
330000	2014	浙江省	101.398788373451	107.239230270758	108.594585533588
330000	2015	浙江省	101.466656589818	105.341240460571	111.329162995499
330000	2016	浙江省	102.7268115	105.6808925	109.7331514
330000	2017	浙江省	102.722447222927	106.603342472908	109.21019975555402
340000	2009	安徽省	105.023943644712	116.82915111186199	111.03802760232901
340000	2010	安徽省	104.614989293362	120.68251295846301	110.05000632315901
340000	2011	安徽省	104.02747258770799	117.96376150731001	110.57756856701401
340000	2012	安徽省	105.54801908087099	114.359525152319	110.950548023374
340000	2013	安徽省	103.381304787132	111.48562919573999	111.200032729039
340000	2014	安徽省	104.572974229473	109.941611395499	109.477235238055
340000	2015	安徽省	104.24467773388201	108.343150572784	110.811166366661
340000	2016	安徽省	102.68735579999999	108.113875	111.14036709999999
340000	2017	安徽省	104.06032078725201	108.22807976572099	109.875684378721
350000	2009	福建省	104.7	113.7	112.3
350000	2010	福建省	103.3	118.1	110.6
350000	2011	福建省	104.4	116.2	109.1
350000	2012	福建省	104.235532110672	114.328748911672	109.10729498133301
350000	2013	福建省	104.3	113.2	109.4
350000	2014	福建省	104.4	111.9	108.1
350000	2015	福建省	103.7	107.4	112.3
350000	2016	福建省	103.6	106.8	111.4
350000	2017	福建省	103.7	106.8	110.2
360000	2009	江西省	104.5	117.1	110.7
360000	2010	江西省	104.0	118.2	111.2
360000	2011	江西省	104.2	115.2	111.1
360000	2012	江西省	104.59968502935	113.142489219482	109.52460561549299
360000	2013	江西省	104.5	112.0	108.4
360000	2014	江西省	104.7	110.9	109.1
360000	2015	江西省	103.9	109.4	110.1
360000	2016	江西省	104.2	108.5	111.1
360000	2017	江西省	104.4	108.2	110.5
370000	2009	山东省	104.15	113.9	111.2
370000	2010	山东省	103.6	112.8	113.5
370000	2011	山东省	104.0	111.7	111.3
370000	2012	山东省	104.65	110.51005930307801	109.841597433265
370000	2013	山东省	103.579157504935	110.46519908194401	109.47928512103701
370000	2014	山东省	103.782789363317	109.224312490999	108.89933960967501
370000	2015	山东省	104.154296551252	107.363946131196	109.532424091509
370000	2016	山东省	103.9	106.6	109.3
370000	2017	山东省	103.552595571591	106.30856498019199	109.067011950525
410000	2009	河南省	104.2	112.4	111.1
410000	2010	河南省	104.5	114.8	111.4
410000	2011	河南省	103.7	113.2	113.4
410000	2012	河南省	104.45567716106399	111.40355972341001	110.19684277275299
410000	2013	河南省	104.203240075965	109.59695718144	109.869202161335
410000	2014	河南省	104.04536273798901	109.44755734210399	109.57414808593599
410000	2015	河南省	104.4	107.7	110.9
410000	2016	河南省	104.2208687	107.272566	110.3133592
410000	2017	河南省	104.3	107.2	109.4
420000	2009	湖北省	105.2	116.8	112.3
420000	2010	湖北省	104.6	120.2	111.3
420000	2011	湖北省	104.4	117.9	112.0
420000	2012	湖北省	104.70004059835699	113.19708022818999	110.786062341502
420000	2013	湖北省	104.536209535175	111.293054328747	110.117214239919
420000	2014	湖北省	104.77	110.12	110.47
420000	2015	湖北省	104.54613221597799	108.268426404072	110.70372863361601
420000	2016	湖北省	103.9	107.8	109.5
420000	2017	湖北省	103.7	107.1	109.5
430000	2009	湖南省	105.0	118.9	111.3
430000	2010	湖南省	104.3	120.2	111.7
430000	2011	湖南省	104.2	117.0	111.0
430000	2012	湖南省	102.99974919080601	112.812963443388	112.20102833945101
430000	2013	湖南省	102.733727993744	110.864222902106	111.315504415823
430000	2014	湖南省	104.499795968589	109.320921446922	111.0363306675
430000	2015	湖南省	103.608241266623	107.29957892239099	111.19843182935101
430000	2016	湖南省	103.3	106.5	110.6
430000	2017	湖南省	103.6	106.7	110.3
440000	2009	广东省	104.9	109.2	110.8
440000	2010	广东省	104.5	114.7	110.6
440000	2011	广东省	104.2	110.5	110.0
440000	2012	广东省	103.847154717235	107.315279002591	109.543556266558
440000	2013	广东省	102.449327822277	108.00737332872299	109.600628466836
440000	2014	广东省	103.21706930565	107.93169447117799	107.991558907985
440000	2015	广东省	103.31066949703501	106.956508379727	109.465006284316
440000	2016	广东省	103.1193768	106.0660781	109.20515690000002
440000	2017	广东省	103.61954909161699	106.541620250681	108.745955638524
450000	2009	广西壮族自治区	105.2	117.7	113.8
450000	2010	广西壮族自治区	104.6	120.5	111.1
450000	2011	广西壮族自治区	104.8	116.4	110.5
450000	2012	广西壮族自治区	105.555372825224	114.20209268266001	109.815534845194
450000	2013	广西壮族自治区	104.130775620151	111.62577092259599	110.90309733277799
450000	2014	广西壮族自治区	103.858863487758	110.081964776779	108.10758287769501
450000	2015	广西壮族自治区	103.9	108.2	109.6
450000	2016	广西壮族自治区	103.4	107.4	108.6
450000	2017	广西壮族自治区	104.2	105.5	109.6
460000	2009	海南省	107.2	112.6	114.1
460000	2010	海南省	106.3	119.2	120.1
460000	2011	海南省	106.2	115.3	113.3
460000	2012	海南省	106.29012001116399	111.03227178801501	109.48093171323099
460000	2013	海南省	106.3	109.1	112.1
460000	2014	海南省	104.8	111.0	108.8
460000	2015	海南省	105.4	106.5	109.6
460000	2016	海南省	104.0	104.7	110.2
460000	2017	海南省	103.6	102.7	110.3
500000	2009	重庆市	105.5	117.9	113.5
500000	2010	重庆市	106.1	122.7	112.4
500000	2011	重庆市	105.1	121.8	110.8
500000	2012	重庆市	105.313935894054	115.598502284619	112.004160322801
500000	2013	重庆市	104.70761210987101	113.438854728151	112.323516404225
500000	2014	重庆市	104.4	112.7	110.0
500000	2015	重庆市	104.7	111.3	111.5
500000	2016	重庆市	104.6	111.3	111.0
500000	2017	重庆市	104.0	109.3	109.9
510000	2009	四川省	104.0	119.5	112.4
510000	2010	四川省	104.4	122.0	110.2
510000	2011	四川省	104.5	120.6	111.2
510000	2012	四川省	104.50008093670799	115.151671590138	111.609434156394
510000	2013	四川省	103.5	111.5	109.9
510000	2014	四川省	103.8	108.9	109.4
510000	2015	四川省	103.7	107.5	109.5
510000	2016	四川省	103.8	107.6	109.2
510000	2017	四川省	103.8	107.5	109.8
520000	2009	贵州省	104.3	112.1	113.1
520000	2010	贵州省	104.7	116.6	112.1
520000	2011	贵州省	101.2	117.9	116.5
520000	2012	贵州省	108.61935402273399	116.779608301446	112.10892830385099
520000	2013	贵州省	105.8	114.1	112.5
520000	2014	贵州省	106.6	112.3	110.4
520000	2015	贵州省	106.5	111.4	111.1
520000	2016	贵州省	106.0465315	111.2738429	111.4387449
520000	2017	贵州省	106.3	110.1	111.5
530000	2009	云南省	105.2	113.6	113.1
530000	2010	云南省	104.2	115.8	111.5
530000	2011	云南省	106.0	117.9	112.0
530000	2012	云南省	106.650210665191	116.680565164664	110.881665591302
530000	2013	云南省	106.8	112.5	113.5
530000	2014	云南省	106.2	109.1	107.4
530000	2015	云南省	105.9	108.6	109.6
530000	2016	云南省	105.6	108.9	109.5
530000	2017	云南省	106.06	110.67	109.54
540000	2009	西藏自治区	103.0	121.7	110.4
540000	2010	西藏自治区	103.2	114.1	113.7
540000	2011	西藏自治区	103.4	118.3	111.6
540000	2012	西藏自治区	103.36240855374201	114.44559051057199	112.04732879168199
540000	2013	西藏自治区	103.824690349803	119.994592402325	108.80338722968901
540000	2014	西藏自治区	104.16435274674801	114.563155795117	109.470327145217
540000	2015	西藏自治区	103.724801944491	115.692461014123	108.940564770655
540000	2016	西藏自治区	104.5	112.2	109.6
540000	2017	西藏自治区	104.109722764545	111.7	109.9
610000	2009	陕西省	104.9	113.8	115.3
610000	2010	陕西省	105.8	118.0	112.1
610000	2011	陕西省	105.9	116.4	112.5
610000	2012	陕西省	106.000363021485	114.841127689625	111.556504328509
610000	2013	陕西省	104.6	112.6	110.1
610000	2014	陕西省	105.1	110.9	108.9
610000	2015	陕西省	105.095208740025	106.55138503695999	110.514690706472
610000	2016	陕西省	104.0	107.3	108.8
610000	2017	陕西省	104.6	107.8	108.9
620000	2009	甘肃省	105.1	111.02	111.18
620000	2010	甘肃省	105.48	115.25	109.88
620000	2011	甘肃省	105.9	115.21	111.63
620000	2012	甘肃省	106.83830712507499	114.210581043419	112.46643121434099
620000	2013	甘肃省	105.50113283956699	111.296733624165	111.887654203385
620000	2014	甘肃省	105.509001825854	109.234471844221	109.46491122882601
620000	2015	甘肃省	105.38730602426399	107.375482103337	109.7265911429
620000	2016	甘肃省	105.5	106.8	108.9
620000	2017	甘肃省	105.444754452727	98.9500518687331	106.543936037159
630000	2009	青海省	105.0	111.34	109.79
630000	2010	青海省	105.9	119.28	112.14
630000	2011	青海省	104.8	117.38	109.73
630000	2012	青海省	105.198387438999	114.08990538082199	111.073909930135
630000	2013	青海省	105.3	112.3	109.8
630000	2014	青海省	105.2	110.0	108.8
630000	2015	青海省	105.1	108.4	108.6
630000	2016	青海省	105.4	108.5	108.0
630000	2017	青海省	104.9	107.2	107.9
640000	2009	宁夏回族自治区	107.3	114.4	110.0
640000	2010	宁夏回族自治区	107.4	116.0	111.6
640000	2011	宁夏回族自治区	105.1	117.6	107.2
640000	2012	宁夏回族自治区	105.84896642370701	113.824169953978	109.74871570228201
640000	2013	宁夏回族自治区	104.272180182327	112.49966136591401	107.461188196909
640000	2014	宁夏回族自治区	105.497142857143	109.17635915589099	106.85751145513599
640000	2015	宁夏回族自治区	104.566135846604	108.516832949792	107.93801128203
640000	2016	宁夏回族自治区	104.5	107.9	109.0
640000	2017	宁夏回族自治区	104.4	107.0	109.2
650000	2009	新疆维吾尔自治区	104.5	108.5	109.2
650000	2010	新疆维吾尔自治区	104.5	112.6	110.8
650000	2011	新疆维吾尔自治区	106.5	112.0	115.2
650000	2012	新疆维吾尔自治区	107.023653030844	113.655465079431	112.325941206808
650000	2013	新疆维吾尔自治区	106.9	112.5	110.9
650000	2014	新疆维吾尔自治区	105.9	111.2	110.4
650000	2015	新疆维吾尔自治区	105.9	107.3	112.2
650000	2016	新疆维吾尔自治区	105.8	106.2	109.4
650000	2017	新疆维吾尔自治区	104.8	106.4	109.5
